Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Field Service Senior Executive (technical support based in Kuching),Isuzu Malaysia Sdn Bhd,"Kuching, Sarawak",,"Automotive EngineeringAutomotive Engineering , Engineering(Engineering)",Attractive Remuneration PackageMedical benefits covering familySemi-flexi working hour,09-06-2024,11d ago,Jobstreet,https://www.jobstreet.com.my/job/76212150?type=standout&ref=search-standalone
Indoor Sales Executive,Private Advertiser,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,13h ago,Jobstreet,https://www.jobstreet.com.my/job/76467291?type=standard&ref=search-standalone
Account Officer,Timur Lube Sdn. Bhd.,"Kuching, Sarawak","RM 2,800 – RM 3,200 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",Annual incrementAnnual bonusEnjoy staff welfare benefit,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76371999?type=standout&ref=search-standalone
Steward,DOMUS GROUP,"Kuching, Sarawak","RM 1,500 – RM 1,600 per month","Kitchen & Sandwich HandsKitchen & Sandwich Hands , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,11h ago,Jobstreet,https://www.jobstreet.com.my/job/76467768?type=standard&ref=search-standalone
Internal Auditor (IA),HH Capacity Sdn Bhd,"Kuching, Sarawak",,"Audit - InternalAudit - Internal , Accounting(Accounting)",Opportunities to promotionProfessional DevelopmentYearly bonus and increment,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76404287?type=standout&ref=search-standalone
Account Executive,LIANSIN TRADING SDN. BHD.,"Kuching, Sarawak","RM 2,000 – RM 2,500 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76167233?type=standard&ref=search-standalone
Automotive Mechanic,HMBC Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Mechanical EngineeringMechanical Engineering , Engineering(Engineering)",Skillset Advancement.Building your Passionate through daily task.Delivering Happiness.,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76267001?type=standout&ref=search-standalone
Maintenance Supervisor,Private Advertiser,"Kuching, Sarawak","RM 2,300 – RM 2,800 per month","Team Leaders/SupervisorsTeam Leaders/Supervisors , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76460099?type=standard&ref=search-standalone
"Senior Engineer, External Supplied Fab",X-FAB Sarawak Sdn Bhd,"Kuching, Sarawak",,"Electrical/Electronic EngineeringElectrical/Electronic Engineering , Engineering(Engineering)",Flexible working hoursGreat staff benefitsBetter career progression,09-06-2024,12d ago,Jobstreet,https://www.jobstreet.com.my/job/76190129?type=standout&ref=search-standalone
Account Assistant,THIEN LEE MARKETING SDN. BHD.,"Kuching, Sarawak","RM 1,800 – RM 2,300 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76446077?type=standard&ref=search-standalone
