Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Account Clerk,Seyi Hardware Sdn Bhd,"Kuching, Sarawak","RM 2,200 – RM 2,800 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75920895?type=standard&ref=search-standalone
Valuation Executive,Jasaland Property Consultants Sdn Bhd,"Kuching, Sarawak",,"ValuationValuation , Real Estate & Property(Real Estate & Property)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75896316?type=standard&ref=search-standalone
CIVIL ENGINEER,T & J ENGINEERING SDN BHD,"Kuching, Sarawak","RM 4,000 – RM 6,000 per month","Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75805836?type=standard&ref=search-standalone
Commis 1,DOMUS GROUP,"Kuching, Sarawak","RM 1,800 – RM 2,000 per month","Chefs/CooksChefs/Cooks , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75924691?type=standard&ref=search-standalone
ACCOUNT ASSISTANT,HAITONG COLDSTORAGE (M) SDN. BHD.,"Kuching, Sarawak","RM 1,800 – RM 2,500 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75853777?type=standard&ref=search-standalone
Event & Marketing - Executive,Boulevard Enterprise (Kuching) Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 2,800 per month","Event ManagementEvent Management , Marketing & Communications(Marketing & Communications)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75849931?type=standard&ref=search-standalone
BILLING & INVENTORIES ASSISTANT,HAITONG COLDSTORAGE (M) SDN. BHD.,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75853938?type=standard&ref=search-standalone
Finance Assistant,Heng Lian Enterprise Bhd,"Kuching, Sarawak","RM 1,500 – RM 1,700 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75886268?type=standard&ref=search-standalone
ADMIN CUM OPERATIONS OFFICER,Heng Lian Enterprise Bhd,"Kuching, Sarawak","RM 1,700 – RM 2,500 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75834277?type=standard&ref=search-standalone
DRIVER (KUCHING),DDELL TRAVEL & SERVICES SDN. BHD.,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","Road TransportRoad Transport , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75959954?type=standard&ref=search-standalone
Graphic Designer,HEMISPHERE CORPORATION SDN. BHD,"Kuching, Sarawak",,"Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75914436?type=standard&ref=search-standalone
Junior Sous,DOMUS GROUP,"Kuching, Sarawak","RM 2,800 – RM 3,000 per month","Chefs/CooksChefs/Cooks , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75924877?type=standard&ref=search-standalone
Admin Executive / Clerk,Private Advertiser,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75830646?type=standard&ref=search-standalone
Electrical Engineer,MECHANICAL AND ELECTRICAL ENGINEER,"Kuching, Sarawak","RM 3,000 – RM 4,000 per month","Electrical/Electronic EngineeringElectrical/Electronic Engineering , Engineering(Engineering)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75849880?type=standard&ref=search-standalone
Experience Mechanic,SmartCare Auto Service Centre,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","Maintenance & Handyperson ServicesMaintenance & Handyperson Services , Trades & Services(Trades & Services)",,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75931485?type=standard&ref=search-standalone
Storekeeper,Puteri Engineering & Company (PEC),"Kuching, Sarawak",,"Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75894615?type=standard&ref=search-standalone
Account Executive,Private Advertiser,"Kuching, Sarawak","RM 2,500 – RM 3,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75829102?type=standard&ref=search-standalone
Account Executive,KEE HUA,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75786089?type=standard&ref=search-standalone
Site Engineer,CGM Construction Sdn Bhd,"Kuching, Sarawak","RM 2,500 – RM 3,600 per month","Project EngineeringProject Engineering , Engineering(Engineering)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75831578?type=standard&ref=search-standalone
Account Clerk,Gucini Sdn Bhd,"Kuching, Sarawak","RM 1,800 – RM 2,500 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75826776?type=standard&ref=search-standalone
Business Development Executive (Kuching),RHB Banking Group,"Kuching, Sarawak",,"New Business DevelopmentNew Business Development , Sales(Sales)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75803066?type=standard&ref=search-standalone
Cashier cum Sales,Seyi Hardware Sdn Bhd,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Retail AssistantsRetail Assistants , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75921790?type=standard&ref=search-standalone
"Branch Manager/Asst Branch Manager (Kota Kinabalu,Sabah & Kuching, Sarawak)",PLANET TELECOMS MANAGED SERVICES SDN BHD,"Kuching, Sarawak","RM 3,000 – RM 4,000 per month","Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75831926?type=standard&ref=search-standalone
SALES REPRESENTATIVE,HAITONG COLDSTORAGE (M) SDN. BHD.,"Kuching, Sarawak","RM 1,900 – RM 2,800 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75855974?type=standard&ref=search-standalone
English teacher,Kids Speak Enterprise,"Kuching, Sarawak","RM 1,500 – RM 2,250 per month","Teaching - PrimaryTeaching - Primary , Education & Training(Education & Training)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75832819?type=standard&ref=search-standalone
Sales Executive,U TECH ENERGY SAVING SDN. BHD.,"Kuching, Sarawak","RM 2,500 – RM 3,300 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75880749?type=standard&ref=search-standalone
Sam's Ice-Cream Bartender,Sam Fah Enterprise (M) Sdn Bhd,"Kuching, Sarawak","RM 1,500 per month","Bar & Beverage StaffBar & Beverage Staff , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75851688?type=standard&ref=search-standalone
KindySpeak Teacher,Kids Speak Enterprise,"Kuching, Sarawak","RM 1,800 – RM 2,700 per month","Teaching - Early ChildhoodTeaching - Early Childhood , Education & Training(Education & Training)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75833088?type=standard&ref=search-standalone
Pharmacist Assistant,MEDTOWN PHARMACY GALACITY SDN BHD,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","PharmacyPharmacy , Healthcare & Medical(Healthcare & Medical)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75789323?type=standard&ref=search-standalone
AIRCOND TECHNCIAN,Total IFM Sdn Bhd,"Kuching, Sarawak",,"Maintenance & Handyperson ServicesMaintenance & Handyperson Services , Trades & Services(Trades & Services)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75833043?type=standard&ref=search-standalone
Car Technician(Chief/ Executive),ContiDrive Autohaus Sdn Bhd,"Kuching, Sarawak","RM 3,000 – RM 3,500 per month","Mechanical EngineeringMechanical Engineering , Engineering(Engineering)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75804776?type=standard&ref=search-standalone
DENTIST,KLINIK PERGIGIAN BLACK CORAL,"Kuching, Sarawak",,"DentalDental , Healthcare & Medical(Healthcare & Medical)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75820870?type=standard&ref=search-standalone
Sales and Marketing Manager,Private Advertiser,"Kuching, Sarawak","RM 4,000 – RM 5,000 per month","ManagementManagement , Marketing & Communications(Marketing & Communications)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75820921?type=standard&ref=search-standalone
Graphic designer,Gucini Sdn Bhd,"Kuching, Sarawak","RM 1,700 – RM 2,100 per month","Art DirectionArt Direction , Advertising, Arts & Media(Advertising, Arts & Media)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75827789?type=standard&ref=search-standalone
Salesman,Private Advertiser,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75822739?type=standard&ref=search-standalone
Car technician,ContiDrive Autohaus Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Automotive EngineeringAutomotive Engineering , Engineering(Engineering)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75804879?type=standard&ref=search-standalone
MULTI-SKILLS TECHNICIAN,Total IFM Sdn Bhd,"Kuching, Sarawak",,"TechniciansTechnicians , Trades & Services(Trades & Services)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75809878?type=standard&ref=search-standalone
LORRY DRIVER,Total IFM Sdn Bhd,"Kuching, Sarawak",,"Couriers, Drivers & Postal ServicesCouriers, Drivers & Postal Services , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75924681?type=standard&ref=search-standalone
Graphic Designer,Private Advertiser,"Kuching, Sarawak","RM 2,000 – RM 2,500 per month","Graphic DesignGraphic Design , Design & Architecture(Design & Architecture)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75829148?type=standard&ref=search-standalone
PEKERJA AM  (Plastering dan Pengecatan),WEIDA IFM SDN. BHD.,"Kuching, Sarawak",,"Building Services EngineeringBuilding Services Engineering , Engineering(Engineering)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75837548?type=standard&ref=search-standalone
ADMIN CLERK,KEE HUA,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75773727?type=standard&ref=search-standalone
General worker,L&K Manufacturer Sdn bhd,"Kuching, Sarawak","RM 1,500 – RM 1,600 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75838899?type=standard&ref=search-standalone
TAX SENIOR / ASSOCIATE,FELIX WONG & CO,"Kuching, Sarawak",,"TaxationTaxation , Accounting(Accounting)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75842301?type=standard&ref=search-standalone
IT ASSISTANT,Mac Media Sdn Bhd,"Kuching, Sarawak","RM 2,500 – RM 3,000 per month","Help Desk & IT SupportHelp Desk & IT Support , Information & Communication Technology(Information & Communication Technology)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75775702?type=standard&ref=search-standalone
Production Manager,MAMACHOO FOOD SDN. BHD.,"Kuching, Sarawak",,"Production, Planning & SchedulingProduction, Planning & Scheduling , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,28d ago,Jobstreet,https://www.jobstreet.com.my/job/75782092?type=standard&ref=search-standalone
Account Executive,KIM MING FROZEN FOOD SDN BHD,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75776850?type=standard&ref=search-standalone
Technical Engineer,AHI Lifts (Malaysia) Sdn Bhd,"Kuching, Sarawak",,"Mechanical EngineeringMechanical Engineering , Engineering(Engineering)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75775884?type=standard&ref=search-standalone
Senior Sales Executive,Private Advertiser,"Kuching Division, Sarawak","RM 3,500 – RM 4,500 per month","Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75793911?type=standard&ref=search-standalone
幼教中文老师,Private Advertiser,"Kuching, Sarawak","RM 1,500 per month","Teaching - Early ChildhoodTeaching - Early Childhood , Education & Training(Education & Training)",,09-06-2024,28d ago,Jobstreet,https://www.jobstreet.com.my/job/75781575?type=standard&ref=search-standalone
Mechanical Assembly Technician,AHI Lifts (Malaysia) Sdn Bhd,"Kuching, Sarawak","RM 1,800 – RM 2,500 per month","Mechanical EngineeringMechanical Engineering , Engineering(Engineering)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75775808?type=standard&ref=search-standalone
Genaral Clerk,Larry Enterprise,"Siburan, Sarawak","RM 1,300 – RM 1,500 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,27d ago,Jobstreet,https://www.jobstreet.com.my/job/75802306?type=standard&ref=search-standalone
ADMIN OFFICER (LEASING) - KUCHING,Hock Seng Lee Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76436064?type=standard&ref=search-standalone
Food & Beverage Attendant,Sheraton Imperial Kuala Lumpur Hotel,"Kuching, Sarawak",,"HousekeepingHousekeeping , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76466447?type=standard&ref=search-standalone
"ENGINEER, CIVIL & STRUCTURE",IJM Corporation Berhad,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76436054?type=standard&ref=search-standalone
Laundry Manager,Sheraton Imperial Kuala Lumpur Hotel,"Kuching, Sarawak",,"ManagementManagement , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76456231?type=standard&ref=search-standalone
Chef de Partie,Sheraton Imperial Kuala Lumpur Hotel,"Kuching, Sarawak",,"ManagementManagement , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76423646?type=standard&ref=search-standalone
Trade Marketing Executive,British American Tobacco (Malaysia) Berhad (BATM),"Kuching, Sarawak",,"Marketing CommunicationsMarketing Communications , Marketing & Communications(Marketing & Communications)",,09-06-2024,13d ago,Jobstreet,https://www.jobstreet.com.my/job/76174761?type=standard&ref=search-standalone
Beauty Advisor - Kuching (1 Year Contract),CHANEL (Kuala Lumpur) Sdn Bhd,"Kuching, Sarawak",,"Hair & Beauty ServicesHair & Beauty Services , Trades & Services(Trades & Services)",,09-06-2024,16d ago,Jobstreet,https://www.jobstreet.com.my/job/76116497?type=standard&ref=search-standalone
Assistant Manager Field Sales,DKSH Malaysia Sdn Bhd,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/76003076?type=standard&ref=search-standalone
Commis II,DoubleTree by Hilton Kuala Lumpur,"Kuching, Sarawak",,"Chefs/CooksChefs/Cooks , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/76011322?type=standard&ref=search-standalone
Training & Engagement Specialist,Western Digital,"Kuching, Sarawak",,"Training & DevelopmentTraining & Development , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75823438?type=standard&ref=search-standalone
"Principal Engineer, Development Engineering",Western Digital,"Kuching, Sarawak",,"Process EngineeringProcess Engineering , Engineering(Engineering)",,09-06-2024,26d ago,Jobstreet,https://www.jobstreet.com.my/job/75816491?type=standard&ref=search-standalone
Executive – Procurement – Miri,NAIM HOLDINGS BERHAD,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/73391053?type=standard&ref=search-standalone
Executive – Strategic Planning – Bintulu,NAIM HOLDINGS BERHAD,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/74825638?type=standard&ref=search-standalone
Account Finance Executive,Red Velvet WM Events Sdn Bhd,"Kuching, Sarawak",,"Brand ManagementBrand Management , Marketing & Communications(Marketing & Communications)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75293469?type=standard&ref=search-standalone
Warehouse Executive,Red Velvet WM Events Sdn Bhd,"Kuching, Sarawak",,"Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75293451?type=standard&ref=search-standalone
Human Resources Executive,Red Velvet WM Events Sdn Bhd,"Kuching, Sarawak",,"Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75293425?type=standard&ref=search-standalone
Data Analyst Administrator,Red Velvet WM Events Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75293394?type=standard&ref=search-standalone
Product Specialist,DKSH Malaysia Sdn Bhd,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75743659?type=standard&ref=search-standalone
"Sales Specialist, Equipment Sales",Sime Darby Industrial,"Kuching, Sarawak",,"Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/73495117?type=standard&ref=search-standalone
Partner Sales Manager,Study Group.,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,29d ago,Jobstreet,https://www.jobstreet.com.my/job/75776940?type=standard&ref=search-standalone
"Technician 2, Quality Assurance",Western Digital,"Kuching, Sarawak",,"Quality Assurance & ControlQuality Assurance & Control , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75272023?type=standard&ref=search-standalone
"Experienced Associate, Deals Advisory",PWC CORPORATION Sdn Bhd,"Kuching, Sarawak",,"Funds ManagementFunds Management , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/72342795?type=standard&ref=search-standalone
Production Team Leader,Company Confidential,"Kuching, Sarawak",,"SupervisorsSupervisors , Engineering(Engineering)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/72525414?type=standard&ref=search-standalone
线上客服专员 - 周休两天 ，台湾市场,Agensi Pekerjaan Job Expert Sdn Bhd,"Kuching, Sarawak",,"Customer Service - Call CentreCustomer Service - Call Centre , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75414307?type=standard&ref=search-standalone
Mid Market Account Manager,Maxis Broadband Sdn Bhd,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/72938319?type=standard&ref=search-standalone
Project Manager,QL Livestock Farming Sdn Bhd,"Kuching, Sarawak",,"Retail & Property DevelopmentRetail & Property Development , Real Estate & Property(Real Estate & Property)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/72344193?type=standard&ref=search-standalone
Senior Manager – Project – Bintulu,NAIM HOLDINGS BERHAD,"Kuching, Sarawak",,"Financial Accounting & ReportingFinancial Accounting & Reporting , Accounting(Accounting)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75682687?type=standard&ref=search-standalone
CONTRACTS MANAGER - KUCHING,Hock Seng Lee Bhd,"Kuching, Sarawak",,"Contracts ManagementContracts Management , Construction(Construction)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/74065171?type=standard&ref=search-standalone
Sales Consultant,Carsome Sdn Bhd,"Kuching, Sarawak",,"Retail AssistantsRetail Assistants , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/73224213?type=standard&ref=search-standalone
Graphic Designer,Red Velvet WM Events Sdn Bhd,"Kuching, Sarawak",,"Graphic DesignGraphic Design , Design & Architecture(Design & Architecture)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75293455?type=standard&ref=search-standalone
Grab Driver Center (GDC) Coordinator,Operations,"Kuching, Sarawak",,"Customer Service - Customer FacingCustomer Service - Customer Facing , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/76242539?type=standard&ref=search-standalone
PROJECT ARCHITECT - KUCHING,Hock Seng Lee Bhd,"Kuching, Sarawak",,"Project ManagementProject Management , Construction(Construction)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/74065255?type=standard&ref=search-standalone
Customer Development Executive- Outdoor Sales Consultant (Kuching),Rentokil Initial (M) Sdn Bhd,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/74677171?type=standard&ref=search-standalone
"Senior Associate/Manager, Deals Advisory",PWC CORPORATION Sdn Bhd,"Kuching, Sarawak",,"Analysis & ReportingAnalysis & Reporting , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/72345986?type=standard&ref=search-standalone
Mechanic,Sime Darby Industrial,"Kuching, Sarawak",,"Mechanical EngineeringMechanical Engineering , Engineering(Engineering)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/73495281?type=standard&ref=search-standalone
East Malaysia Network Operations Associate - Chargeman,Maxis Broadband Sdn Bhd,"Kuching, Sarawak",,"Electrical/Electronic EngineeringElectrical/Electronic Engineering , Engineering(Engineering)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/74678395?type=standard&ref=search-standalone
Production Manager,QL Livestock Farming Sdn Bhd,"Bau, Sarawak",,"ManagementManagement , Engineering(Engineering)",,09-06-2024,30d+ ago,Jobstreet,https://www.jobstreet.com.my/job/75392586?type=standard&ref=search-standalone
Production Assistant,Grandee Beverages Sdn Bhd,"Kuching, Sarawak",,"Machine OperatorsMachine Operators , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76460475?type=standard&ref=search-standalone
Account cum Admin,AK Luminary Sdn. Bhd.,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76462553?type=standard&ref=search-standalone
Guest Service Agent (Front Desk),THE LIMETREE HOTEL,"Kuching, Sarawak",,"Front Office & Guest ServicesFront Office & Guest Services , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76464174?type=standard&ref=search-standalone
Supervisor,AK Luminary Sdn. Bhd.,"Kuching, Sarawak",,"Farm ManagementFarm Management , Farming, Animals & Conservation(Farming, Animals & Conservation)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76452561?type=standard&ref=search-standalone
HR AND ADMIN EXECUTIVE,KOPERASI KELUARGA SUMIRAN KUCHING BERHAD,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392581?type=standard&ref=search-standalone
Technician,AK Luminary Sdn. Bhd.,"Kuching, Sarawak",,"Body Corporate & Facilities ManagementBody Corporate & Facilities Management , Real Estate & Property(Real Estate & Property)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76452505?type=standard&ref=search-standalone
F&B Waiter/Waitress/supervisor/Captain,HARBOUR VIEW HOTEL,"Kuching, Sarawak",,"CollectionsCollections , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76436067?type=standard&ref=search-standalone
Retail Cashier cum Admin,AK Luminary Sdn. Bhd.,"Kuching, Sarawak",,"Retail AssistantsRetail Assistants , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76452428?type=standard&ref=search-standalone
ADMIN CLERK,Junda Realty Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392246?type=standard&ref=search-standalone
RESEARCH AND DEVELOPMENT ASSISTANT (FISHERY),SATOYAMA FARM & CONSTRUCTION SDN. BHD.,"Kuching, Sarawak",,"Environmental EngineeringEnvironmental Engineering , Engineering(Engineering)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76416523?type=standard&ref=search-standalone
ADMINISTRATION ASSISTANT,UNIQUE DECO SDN BHD.,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392891?type=standard&ref=search-standalone
